,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Hungary's risky bet on Russia's nuclear power,Russia's war in Ukraine is making a new power station - the biggest single investment in Hungarian history - less likely by the day.,https://www.bbc.co.uk/news/world-europe-63964744,https://ichef.bbci.co.uk/news/1024/branded_news/14469/production/_127994038_paks2.jpg,2022-12-15T01:22:52Z,"""If this new power plant is built,"", says Janos, a tall, friendly nuclear engineer who works in Reactor block 2 of the existing nuclear power station at Paks, ""it will be good for the town, and good … [+5531 chars]"
11,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Venezuela corruption: Hugo Chávez's nurse guilty of money laundering,"Claudia Díaz was the nurse of the late Venezuelan President Hugo Chávez, who named her treasurer.",https://www.bbc.co.uk/news/world-latin-america-63971269,https://ichef.bbci.co.uk/news/1024/branded_news/70B7/production/_104755882_claudia4.jpg,2022-12-14T13:52:44Z,"A woman who was the nurse of the late Venezuelan president, Hugo Chávez, before he named her Venezuela's national treasurer in 2011, has been found guilty of money laundering.
Claudia Díaz, 49, is t… [+2362 chars]"
12,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,"Akon’s Wakanda, grazing goats and a crumbling crypto dream",RnB singer Akon is planning a Senegalese super-city running on cryptocurrency. But will it happen?,https://www.bbc.co.uk/news/world-africa-63988368,https://ichef.bbci.co.uk/news/1024/branded_news/2BFC/production/_128106211_akonindex.jpg,2022-12-24T00:48:54Z,"RnB singer Akon says his much-delayed plans for Akon City - an African metropolis on the Senegalese coast - are ""100,000% moving"". 
Although goats are currently grazing on the site, he says that cri… [+9305 chars]"
13,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Haiti: Inside the capital city taken hostage by brutal gangs,"Orla Guerin reports from Port-au-Prince, where Haitians live in fear of killings, kidnappings and rape.",https://www.bbc.co.uk/news/world-latin-america-63707429,https://ichef.bbci.co.uk/news/1024/branded_news/91F7/production/_127876373_4super_promo_new_safe_zone-2.jpg,2022-12-05T06:00:16Z,"In Port-au-Prince you cannot see the boundaries, but you must know where they are. Your life may depend on it. Competing gangs are carving up the Haitian capital, kidnapping, raping, and killing at w… [+17193 chars]"
14,"{'id': 'cnn', 'name': 'CNN'}",Nicole Goodkind,Why we think we're in a recession when the data says otherwise,"It seems like you can't go anywhere these days without colliding headfirst into another ominous prediction of imminent recession. CEOs, portfolio managers, politicians, news pundits, second cousins and even Cardi B are sounding the alarm: Hear ye! Hear ye! Ec…",https://www.cnn.com/2022/12/08/investing/premarket-stocks-trading/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/221207131008-shopping-california-1129-restricted.jpg?c=16x9&q=w_800,c_fill",2022-12-08T12:52:53Z,A version of this story first appeared in CNN Business Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the s… [+7272 chars]
15,"{'id': 'cnn', 'name': 'CNN'}",Nicole Goodkind,Consumers are keeping the economy afloat... for now,"American shoppers just keep on spending, lending vital support to the economy. The question is: How long will it last?",https://www.cnn.com/2022/11/30/investing/premarket-stocks-trading/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/221129134338-03-black-friday-shoppers-ny-1125.jpg?c=16x9&q=w_800,c_fill",2022-11-30T13:18:41Z,A version of this story first appeared in CNN Business Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the s… [+6868 chars]
16,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,COP15: Summit on 'pact with nature' enters final stretch,Decision day looms for sealing a global deal to stop the destruction of nature.,https://www.bbc.co.uk/news/science-environment-64019324,https://ichef.bbci.co.uk/news/1024/branded_news/9CF7/production/_128038104_cop15.jpg,2022-12-19T00:12:05Z,"With only hours left to secure a global agreement to stop the destruction of nature, delegates at a UN summit are considering a new draft deal. 
A compromise text has been put forward in a last ditc… [+4222 chars]"
17,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Ukraine war: EU set to approve cap on price of Russian oil,"The European Union agrees a cap of $60 a barrel on exported Russian crude, after Poland gave its backing.",https://www.bbc.co.uk/news/world-europe-63840412,https://ichef.bbci.co.uk/news/1024/branded_news/08B3/production/_127872220_gettyimages-1239069485.jpg,2022-12-02T17:41:54Z,"The European Union looks set to approve a cap on the price of Russian oil after Poland gave its backing.
The plan, which stops countries paying more than $60 (57; £48) a barrel, needed the agreement… [+1468 chars]"
18,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Emergencies Act: Trudeau defends use to end 'Freedom Convoy' protests,"The emergency powers were used to help bring an end to Canada's ""Freedom Convoy"" last winter.",https://www.bbc.co.uk/news/world-us-canada-63736487,https://ichef.bbci.co.uk/news/1024/branded_news/16E48/production/_127786739_e78f5e1bf8cafef0fb70ce9ddae3dba4ad5887670_203_2458_1383500x281.jpg,2022-11-25T19:08:13Z,"Prime Minister Justin Trudeau has said he ""absolutely made the right choice"" in invoking never-used emergency powers to end to last winter's truck protests.
Mr Trudeau made the comments during an ap… [+2207 chars]"
19,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,EU Commission calls for freeze on €13bn funding for Hungary,The EU's executive says Hungary needs to enact reforms before receiving EU budget and Covid funding.,https://www.bbc.co.uk/news/world-europe-63806254,https://ichef.bbci.co.uk/news/1024/branded_news/6A4D/production/_127831272_orban.jpg,2022-11-30T14:46:50Z,"The EU's executive has recommended that billions of euros of funding for Hungary should be withheld because Viktor Orban's government has failed to enact widespread reforms.
In total, the European C… [+4050 chars]"
20,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Anwar Ibrahim: Honeymoon as Malaysian PM will be brutally short,He finally got his dream job - but Anwar Ibrahim faces a divided country and a weak economy.,https://www.bbc.co.uk/news/world-asia-63818164,https://ichef.bbci.co.uk/news/1024/branded_news/10B3E/production/_127841486_11dd852dcdaa04c025953f9a619ac59ca2506905.jpg,2022-12-03T01:13:08Z,"The honeymoon - if there even is one - will be brutally short. 
Anwar Ibrahim became Malaysia's 10th prime minister last week, after an epic career in which he had sought the job, and come close to … [+6040 chars]"
21,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Tutankhamun's inspiring 21st Century afterlife,Egyptologists are still learning about his life and treasures a century after his tomb was opened.,https://www.bbc.co.uk/news/world-middle-east-63742475,https://ichef.bbci.co.uk/news/1024/branded_news/1730A/production/_127768949_d17f5559-92e1-4a69-ab05-25fdf099f444.jpg,2022-11-26T00:15:02Z,"""Everywhere the glint of gold."" This is how the British archaeologist Howard Carter infamously recalled his first impression of the dazzling, treasure-filled tomb of Tutankhamun.
On 26 November 1922… [+7852 chars]"
22,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Jeff Bezos: Does US-style philanthropy exist in UK?,The Amazon boss joins a long line of Americans giving away their riches. Is it different in the UK?,https://www.bbc.co.uk/news/world-us-canada-63715064,https://ichef.bbci.co.uk/news/1024/branded_news/1459A/production/_127745338_bezos_getty.jpg,2022-11-28T00:14:59Z,"Philanthropy, the ennobling pursuit of the rich and famous, is in the headlines. But what does philanthropy mean in 2022? And does it mean the same thing in the US as it does in the UK, asks Stephen … [+8672 chars]"
23,"{'id': 'reuters', 'name': 'Reuters'}",,UK finance minister Hunt discusses windfall tax with oil execs - Reuters.com,"Britain's finance minister Jeremy Hunt discussed the government's windfall tax during a meeting with executives from the oil and gas industry, the finance ministry said in a statement on Friday.",https://www.reuters.com/markets/europe/uk-finance-minister-hunt-discusses-windfall-tax-with-oil-execs-2022-12-09/,https://www.reuters.com/resizer/8UOMW4AoYLtk0MEFzUw54oCYAag=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VWFODMVYOBII7DKHZY4EC5EBLE.jpg,2022-12-09T13:49:00Z,"LONDON, Dec 9 (Reuters) - Britain's finance minister Jeremy Hunt discussed the government's windfall tax during a meeting with executives from the oil and gas industry, the finance ministry said in a… [+505 chars]"
24,"{'id': 'reuters', 'name': 'Reuters'}",,Orange finance head Fernandez to join transport group CMA CGM - Reuters.com,"French telecoms group Orange's <a href=""https://www.reuters.com/companies/ORAN.PA"" target=""_blank"">(ORAN.PA)</a> deputy chief executive and head of finance, Ramon Fernandez, is leaving the company to join shipping and transport company CMA CGM as finance dire…",https://www.reuters.com/business/media-telecom/telecoms-company-orange-finance-head-fernandez-join-transport-group-cma-cgm-2022-12-20/,https://www.reuters.com/resizer/f7OnETN7Sb0unYpcbY-2JB56778=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LV3PEYHKZRITLBUR6SALMDOLUE.jpg,2022-12-20T07:43:00Z,"PARIS, Dec 20 (Reuters) - French telecoms group Orange's (ORAN.PA) deputy chief executive and head of finance, Ramon Fernandez, is leaving the company to join shipping and transport company CMA CGM a… [+895 chars]"
25,"{'id': 'reuters', 'name': 'Reuters'}",,UK car distributor Inchcape's finance boss steps down - Reuters,"British car distributor Inchcape <a href=""https://www.reuters.com/companies/INCH.L"" target=""_blank"">(INCH.L)</a> said on Monday finance chief Gijsbert de Zoeten was stepping down after a ""lapse in judgement"" that involved behaviour the company said fell short…",https://www.reuters.com/business/retail-consumer/uk-car-distributor-inchcapes-finance-boss-steps-down-2022-11-28/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=122,2022-11-28T07:57:00Z,"Nov 28 (Reuters) - British car distributor Inchcape (INCH.L) said on Monday finance chief Gijsbert de Zoeten was stepping down after a ""lapse in judgement"" that involved behaviour the company said fe… [+922 chars]"
26,"{'id': 'reuters', 'name': 'Reuters'}",,"Finance needs to shatter 'class ceiling', says UK report - Reuters","Half of senior leaders in Britain's financial and professional services should come from a working class or intermediate social background by 2030, a government-backed taskforce recommended on Wednesday.",https://www.reuters.com/business/sustainable-business/finance-needs-shatter-class-ceiling-says-uk-report-2022-11-30/,https://www.reuters.com/resizer/XBYSwEYYjw8EcuSoNzkCH3hT2HI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/WTA6EEUHQRIFDBEZFS7Q2D3NRM.jpg,2022-11-30T00:10:00Z,"LONDON, Nov 30 (Reuters) - Half of senior leaders in Britain's financial and professional services should come from a working class or intermediate social background by 2030, a government-backed task… [+1975 chars]"
27,"{'id': 'reuters', 'name': 'Reuters'}",,Pakistan committed to completing IMF programme - finance minister - Reuters.com,"Pakistan is committed to completing the International Monetary Fund programme while meeting external debt repayments on time, the country's finance minister said on Tuesday during a meeting with the ambassador of its top bilateral lender China.",https://www.reuters.com/markets/asia/pakistan-committed-completing-imf-programme-finance-minister-2022-12-06/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=123,2022-12-06T17:12:00Z,"Dec 6 (Reuters) - Pakistan is committed to completing the International Monetary Fund programme while meeting external debt repayments on time, the country's finance minister said on Tuesday during a… [+1290 chars]"
28,"{'id': 'reuters', 'name': 'Reuters'}",,Alpha Finance raises price targets on Greek banks - Reuters,"Alpha Finance, a subsidiary of Alpha Bank <a href=""https://www.reuters.com/companies/ACBr.AT"" target=""_blank"">(ACBr.AT)</a>, on Monday raised its price targets on shares of Eurobank <a href=""https://www.reuters.com/companies/EURBr.AT"" target=""_blank"">(EURBr.A…",https://www.reuters.com/business/finance/alpha-finance-raises-price-targets-greek-banks-2022-11-28/,https://www.reuters.com/resizer/2Wh78cX5JZxdXtfd1QWkPa3MkQY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZOFQ43IY3NJO5AV736SFMFPUVE.jpg,2022-11-28T13:40:00Z,"ATHENS, Nov 28 (Reuters) - Alpha Finance, a subsidiary of Alpha Bank (ACBr.AT), on Monday raised its price targets on shares of Eurobank (EURBr.AT), National Bank (NBGr.AT) and Piraeus Bank (BOPr.AT)… [+1279 chars]"
29,"{'id': 'reuters', 'name': 'Reuters'}",,Ukraine's finance minister says reconstruction costs are rising - Reuters.com,Ukraine's Finance Minister Serhiy Marchenko has said more Western aid is needed to help it meet its growing reconstruction costs following this week's escalation of Russian missile attacks.,https://www.reuters.com/markets/europe/ukraines-finance-minister-says-reconstruction-costs-are-rising-2022-11-24/,https://www.reuters.com/resizer/ChsGEbmK030NDeh_X-83lDvWGKk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/E3Z36BF3XZLVJK4VHJWAY7A6EU.jpg,2022-11-24T16:50:00Z,"LONDON, Nov 24 (Reuters) - Ukraine's Finance Minister Serhiy Marchenko has said more Western aid is needed to help it meet its growing reconstruction costs following this week's escalation of Russian… [+2122 chars]"
30,"{'id': 'reuters', 'name': 'Reuters'}",,Bid to censure Ghana's finance minister fails in parliament - Reuters,"A bid to censure Ghana's embattled finance minister Ken Ofori-Atta failed on Thursday when ruling party members walked out of parliament, depriving the opposition of the two-thirds majority it required to pass the motion.",https://www.reuters.com/world/africa/bid-censure-ghanas-finance-minister-fails-parliament-2022-12-08/,https://www.reuters.com/resizer/7Uu2Qf2FKaNh_AlXJ_eIBpljF5U=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/K37VHPGS7BLFFGYH3XRJEJZDBE.jpg,2022-12-08T18:56:00Z,"ACCRA, Dec 8 (Reuters) - A bid to censure Ghana's embattled finance minister Ken Ofori-Atta failed on Thursday when ruling party members walked out of parliament, depriving the opposition of the two-… [+1787 chars]"
31,"{'id': 'reuters', 'name': 'Reuters'}",,More finance needed for Africa's energy transition opportunities - Reuters,"Africa's transition to cleaner fuels and power generation presents investors with opportunities across the value chain, but more direct financing is needed on projects, the head of a South African independent power producer, said on Thursday.",https://www.reuters.com/business/energy/more-finance-needed-africas-energy-transition-opportunities-2022-12-01/,https://www.reuters.com/resizer/8U0QVwpcGIQ10it6HDQLRwakQGY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OFUXNDJS65KNHN5FF6PEIKPYGI.jpg,2022-12-01T09:35:00Z,"DAKAR, Dec 1 (Reuters) - Africa's transition to cleaner fuels and power generation presents investors with opportunities across the value chain, but more direct financing is needed on projects, the h… [+2969 chars]"
32,"{'id': 'reuters', 'name': 'Reuters'}",,Brazil's Lula announces Fernando Haddad as finance minister - Reuters.com,"Brazil's leftist President-elect Luiz Inacio Lula da Silva said on Friday that former Sao Paulo Mayor Fernando Haddad will be his finance minister, ending days of speculation about one of his key ministerial appointments.",https://www.reuters.com/world/americas/brazils-lula-announces-fernando-haddad-finance-minister-2022-12-09/,https://www.reuters.com/resizer/zcDq7LKAcM1MK9HW7Stuun3jITM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2LF6MMBRBRJTXGVCJKMVSXBGZE.jpg,2022-12-09T14:10:00Z,"BRASILIA, Dec 9 (Reuters) - Brazil's leftist President-elect Luiz Inacio Lula da Silva said on Friday that former Sao Paulo Mayor Fernando Haddad will be his finance minister, ending days of speculat… [+760 chars]"
33,"{'id': 'reuters', 'name': 'Reuters'}",,"U.S. Senate Finance Committee asks GM, Tesla, Toyota about ... - Reuters","The U.S. Senate Finance Committee asked eight major automakers, including General Motors <a href=""https://www.reuters.com/companies/GM.N"" target=""_blank"">(GM.N)</a>, Tesla <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a>, Ford M…",https://www.reuters.com/business/autos-transportation/us-senate-finance-committee-asks-gm-tesla-toyota-about-chinese-supply-chain-2022-12-22/,https://www.reuters.com/resizer/caJok6TOkqfw-YnK14bGkxU1Hfw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/JQRGDLQVEVJBBLN3ASFUYBYXW4.jpg,2022-12-22T17:01:00Z,"WASHINGTON, Dec 22 (Reuters) - The U.S. Senate Finance Committee asked eight major automakers, including General Motors (GM.N), Tesla (TSLA.O), Ford Motor (F.N), and Honda Motor (7267.T), to answer q… [+2595 chars]"
34,"{'id': 'reuters', 'name': 'Reuters'}",,Brazil's incoming finance minister picks treasury secretary - Reuters,Brazil's incoming Finance Minister Fernando Haddad said on Thursday that Rogerio Ceron will be the country's treasury secretary in President-elect Luiz Inacio Lula da Silva's government.,https://www.reuters.com/world/americas/brazils-incoming-finance-minister-picks-treasury-secretary-2022-12-22/,https://www.reuters.com/resizer/dKzTFr75qTvuUYt33dzyZOPQxR0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/K4JZMWZ4CVNCTISWF2EGLLCP3E.jpg,2022-12-22T18:14:00Z,"SAO PAULO, Dec 22 (Reuters) - Brazil's incoming Finance Minister Fernando Haddad said on Thursday that Rogerio Ceron will be the country's treasury secretary in President-elect Luiz Inacio Lula da Si… [+728 chars]"
35,"{'id': 'reuters', 'name': 'Reuters'}",,Holiday Inn owner IHG promotes Glover as new finance chief - Reuters,"Holiday Inn owner IHG <a href=""https://www.reuters.com/companies/IHG.L"" target=""_blank"">(IHG.L)</a> promoted Michael Glover, the finance chief of its Americas division and group head of commercial finance, to the role of chief financial officer on Tuesday, wi…",https://www.reuters.com/business/holiday-inn-owner-ihg-promotes-glover-new-finance-chief-2022-12-13/,https://www.reuters.com/resizer/GjzUtf6QaG9TnFn6MXzWElA6pzY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UTFMSDKRRVPO3IUSC5MKES2FSI.jpg,2022-12-13T07:44:00Z,"Dec 13 (Reuters) - Holiday Inn owner IHG (IHG.L) promoted Michael Glover, the finance chief of its Americas division and group head of commercial finance, to the role of chief financial officer on Tu… [+645 chars]"
36,"{'id': 'reuters', 'name': 'Reuters'}",,"Indonesian household spending seen stable, investment to rise in Q4 - finmin - Reuters.com","Indonesian household spending will likely remain stable in the fourth quarter, while investment will probably rise, Finance Minister Sri Mulyani Indrawati said on Thursday.",https://www.reuters.com/markets/asia/indonesian-household-spending-seen-stable-investment-rise-q4-finmin-2022-11-24/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=122,2022-11-24T06:42:21Z,"JAKARTA, Nov 24 (Reuters) - Indonesian household spending will likely remain stable in the fourth quarter, while investment will probably rise, Finance Minister Sri Mulyani Indrawati said on Thursday… [+289 chars]"
37,"{'id': 'reuters', 'name': 'Reuters'}",,Indian states seek greater fiscal space from federal government - Reuters India,"Indian states asked the federal finance ministry for greater budgetary autonomy and fiscal space, officials said after a budget consultation meeting in New Delhi on Friday.",https://www.reuters.com/world/india/indian-states-seek-greater-fiscal-space-federal-government-2022-11-25/,https://www.reuters.com/resizer/zHwLi45azKkZoCMpOPR-LmsMsp0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GGM4B7HOG5NCBHOUZRC4NE5GDU.jpg,2022-11-25T12:13:00Z,"NEW DELHI, Nov 25 (Reuters) - Indian states asked the federal finance ministry for greater budgetary autonomy and fiscal space, officials said after a budget consultation meeting in New Delhi on Frid… [+1380 chars]"
38,"{'id': 'reuters', 'name': 'Reuters'}",,Former UK Chancellor Javid to quit at next election - Reuters,"Former British finance minister and Conservative Party leadership candidate Sajid Javid will not stand for re-election at the next national election, he said on Friday.",https://www.reuters.com/world/uk/former-uk-chancellor-sajid-javid-will-not-stand-re-election-2022-12-02/,https://www.reuters.com/resizer/aLma8UUQZNF4SuHjIq88hMwctz8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QULLPKEMWJJFNPKGJ7O3K4JPH4.jpg,2022-12-02T11:33:00Z,"LONDON, Dec 2 (Reuters) - Former British finance minister and Conservative Party leadership candidate Sajid Javid will not stand for re-election at the next national election, he said on Friday.
Jav… [+825 chars]"
39,"{'id': 'reuters', 'name': 'Reuters'}",,Egypt aims to issue first panda bonds by end of current fiscal year - official - Reuters,"Egypt aims to issue its first panda bonds by the end of this fiscal year, Deputy Finance Minister Ahmed Kouchock said on Sunday.",https://www.reuters.com/markets/rates-bonds/egypt-aims-issue-first-panda-bonds-by-end-current-fiscal-year-official-2022-12-04/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=122,2022-12-04T14:24:00Z,"CAIRO, Dec 4 (Reuters) - Egypt aims to issue its first panda bonds by the end of this fiscal year, Deputy Finance Minister Ahmed Kouchock said on Sunday.
""We are just waiting for the right moment,"" … [+385 chars]"
